x,CI_left,y,CI_right
2010.0,,,
2011.0,,,
2012.0,,,
2013.0,,,
2014.0,,,
2015.0,54.11,54.11,54.11
2019.0,,,
2020.0,52.49,55.46,58.0
2025.0,52.06,54.46,56.02
2030.0,50.96,52.88,54.41
2035.0,31.46,39.95,42.49
2040.0,23.7,29.47,32.44
2045.0,17.67,22.12,25.57
2050.0,13.61,17.05,20.34
