x,CI_left,y,CI_right
2010.0,,,
2011.0,,,
2012.0,,,
2013.0,,,
2014.0,,,
2015.0,54.11,54.11,54.11
2019.0,,,
2020.0,53.14,54.32,54.66
2025.0,53.91,54.26,56.12
2030.0,55.18,55.64,58.24
2035.0,55.48,57.84,59.76
2040.0,55.47,58.73,60.6
2045.0,54.91,59.61,61.64
2050.0,53.24,60.45,62.11
