x,CI_left,y,CI_right
2010.0,,,
2011.0,,,
2012.0,,,
2013.0,,,
2014.0,,,
2015.0,54.11,54.11,54.11
2019.0,,,
2020.0,53.9,54.5,56.25
2025.0,39.55,41.5,44.0
2030.0,26.92,31.08,34.65
2035.0,20.2,22.82,26.43
2040.0,14.73,17.98,20.25
2045.0,10.55,12.97,15.33
2050.0,7.05,9.49,11.3
